City,Clouds,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
sosnovo-ozerskoye,92,ru,07-07-2018,100,52.53,111.54,51.73,10.67
atuona,64,pf,07-07-2018,100,-9.8,-139.03,79.18,17.49
hermanus,0,za,07-07-2018,77,-34.42,19.24,37.69,2.51
aksarka,92,ru,07-07-2018,81,66.56,67.8,59.47,11.45
koppang,8,no,07-07-2018,86,61.57,11.04,42.82,2.17
nakatsugawa,80,jp,07-07-2018,87,35.49,137.5,75.04,3.18
kodiak,1,us,07-07-2018,51,39.95,-94.76,80.6,5.82
vikhorevka,20,ru,07-07-2018,87,56.12,101.17,55.4,6.71
provideniya,32,ru,07-07-2018,94,64.42,-173.23,48.13,12.8
hobart,75,au,07-07-2018,70,-42.88,147.33,44.6,21.92
luanda,75,ao,07-07-2018,88,-8.83,13.24,71.6,3.36
pevek,20,ru,07-07-2018,84,69.7,170.27,39.4,17.27
soria,32,es,07-07-2018,87,41.76,-2.46,52.9,2.51
porto walter,0,br,07-07-2018,85,-8.27,-72.74,75.67,1.95
punta arenas,75,cl,07-07-2018,100,-53.16,-70.91,35.6,6.93
east london,0,za,07-07-2018,100,-33.02,27.91,64.87,9.66
kapaa,40,us,07-07-2018,74,22.08,-159.32,86,17.22
tiksi,64,ru,07-07-2018,93,71.64,128.87,48.49,7.87
lamar,1,us,07-07-2018,29,38.09,-102.62,89.6,20.8
torbay,5,ca,07-07-2018,76,47.66,-52.73,51.8,18.34
shimoda,75,jp,07-07-2018,74,34.7,138.93,84.2,9.17
ushuaia,20,ar,07-07-2018,100,-54.81,-68.31,32,5.82
lakes entrance,92,au,07-07-2018,87,-37.88,147.99,53.08,21.63
albany,0,au,07-07-2018,76,-35.02,117.88,57.76,7.09
longyearbyen,75,sj,07-07-2018,75,78.22,15.64,46.4,14.99
bluff,80,nz,07-07-2018,91,-46.6,168.33,51.28,19.28
iqaluit,20,ca,07-07-2018,70,63.75,-68.52,44.6,3.36
nemuro,75,jp,07-07-2018,82,43.32,145.57,57.2,10.29
cherskiy,44,ru,07-07-2018,38,68.75,161.3,53.62,9.33
kenora,75,ca,07-07-2018,74,49.76,-94.48,84.2,13.87
tuktoyaktuk,75,ca,07-07-2018,81,69.44,-133.03,48.2,13.87
shinjo,75,jp,07-07-2018,94,38.77,140.31,77,3.36
nisia floresta,0,br,07-07-2018,83,-6.09,-35.21,75.2,9.17
san patricio,90,mx,07-07-2018,79,19.22,-104.7,84.2,9.17
ialibu,40,pg,07-07-2018,82,-6.28,143.99,66.2,4.7
paris,1,us,07-07-2018,78,36.3,-88.33,78.8,5.82
santa cruz,75,cr,07-07-2018,62,10.26,-85.58,84.2,18.34
yatou,88,cn,07-07-2018,99,33.81,104.32,54.7,1.95
flinders,0,au,07-07-2018,44,-34.58,150.85,57.2,18.34
busselton,0,au,07-07-2018,100,-33.64,115.35,58.84,13.69
ahmadpur east,0,pk,07-07-2018,68,29.14,71.26,89.8,6.76
khatanga,20,ru,07-07-2018,77,71.98,102.47,53.98,7.09
fuyang,88,cn,07-07-2018,92,32.89,115.81,82.06,7.54
vaini,20,to,07-07-2018,53,-21.2,-175.2,75.2,10.29
arraial do cabo,0,br,07-07-2018,87,-22.97,-42.02,71.17,16.82
barrow,1,us,07-07-2018,68,39.51,-90.4,75.2,5.82
rikitea,68,pf,07-07-2018,100,-23.12,-134.97,75.22,13.35
hofn,20,is,07-07-2018,93,64.25,-15.21,49.57,7.76
merauke,0,id,07-07-2018,70,-8.49,140.4,84.4,14.58
moose factory,75,ca,07-07-2018,44,51.26,-80.61,80.6,9.17
port elizabeth,0,za,07-07-2018,70,-33.92,25.57,42.8,2.24
eyl,20,so,07-07-2018,78,7.98,49.82,80.08,25.88
belem,0,br,07-07-2018,65,-6.45,-64.49,78.55,4.18
cape town,0,za,07-07-2018,75,-33.93,18.42,46.4,1.12
san luis,1,mx,07-07-2018,18,32.49,-114.78,109.4,12.75
bilma,48,ne,07-07-2018,17,18.69,12.92,83.5,9.66
yellowknife,75,ca,07-07-2018,54,62.45,-114.38,57.2,11.41
avarua,75,ck,07-07-2018,73,-21.21,-159.78,71.6,4.7
sur,0,om,07-07-2018,83,22.57,59.53,88.36,8.99
kuybyshevskiy zaton,0,ru,07-07-2018,82,55.16,49.17,62.6,8.95
kropotkin,0,ru,07-07-2018,52,45.43,40.58,69.19,6.31
butaritari,20,ki,07-07-2018,100,3.07,172.79,83.32,7.87
werda,0,bw,07-07-2018,76,-25.27,23.28,36.16,2.84
castro,0,cl,07-07-2018,95,-42.48,-73.76,34.36,1.95
jamestown,0,sh,07-07-2018,100,-15.94,-5.72,68.65,13.24
georgetown,92,sh,07-07-2018,100,-7.93,-14.42,75.67,12.68
qaanaaq,88,gl,07-07-2018,96,77.48,-69.36,32.56,3.96
labuhan,32,id,07-07-2018,82,-2.54,115.51,83.05,3.85
puerto ayora,0,ec,07-07-2018,100,-0.74,-90.35,72.43,10.45
boddam,32,gb,07-07-2018,93,57.47,-1.78,51.8,2.24
immokalee,1,us,07-07-2018,94,26.42,-81.42,80.6,4.7
ambovombe,88,mg,07-07-2018,92,-25.18,46.09,68.38,14.14
chokurdakh,92,ru,07-07-2018,78,70.62,147.9,54.88,13.35
strezhevoy,0,ru,07-07-2018,67,60.73,77.6,62.6,8.95
bajil,92,ye,07-07-2018,55,15.06,43.29,80.62,3.74
sao geraldo do araguaia,20,br,07-07-2018,76,-6.4,-48.55,74.95,6.31
jiangyin,32,cn,07-07-2018,83,31.91,120.26,86.65,11.68
bubaque,40,gw,07-07-2018,94,11.28,-15.83,78.8,15.37
ambilobe,12,mg,07-07-2018,65,-13.19,49.05,71.89,13.13
inhambane,88,mz,07-07-2018,97,-23.87,35.38,69.64,12.01
zhigansk,32,ru,07-07-2018,78,66.77,123.37,70.27,5.08
luganville,0,vu,07-07-2018,96,-15.51,167.18,79.72,9.66
kendari,100,id,07-07-2018,95,-3.99,122.52,78.37,4.07
